product_id,category_id,product_name,product_codes,chat_id,date,theme,question,match_methods,confidence
187,71,Гофриран маркуч за пералня ARISTON MERLONI за филтър-помпа - долен | 030385,030385,CPDS4OTQFBR,2018-08-08,General question,Здравейте. На път съм да поръчам този маркуч. - https://apogee99.com/index.php?main_page=product_info&products_id=187,customer_message_product_url; customer_visited_product_url; start_page_url,high
187,71,Гофриран маркуч за пералня ARISTON MERLONI за филтър-помпа - долен | 030385,030385,CPDS4OTQFBR,2018-08-08,Availability,наличен ли е? Как става доставката и плащането?,customer_message_product_url; customer_visited_product_url; start_page_url,high
187,71,Гофриран маркуч за пералня ARISTON MERLONI за филтър-помпа - долен | 030385,030385,CPDS4OTQFBR,2018-08-08,Order / payment / invoice,поръчах Номерът на Вашата поръчка е: 12958,customer_message_product_url; customer_visited_product_url; start_page_url,high
187,71,Гофриран маркуч за пералня ARISTON MERLONI за филтър-помпа - долен | 030385,030385,PXFN3NGX7D,2019-09-11,Product search / part identification,"Здравейте , търся този маркуч.",start_page_url,high
191,71,"Гофриран маркуч за пералня GORENJE, горен - входящ | 368427",368427,QG2PO1XSJL,2020-09-15,Availability,Имате ли го в наличност и искам да го поръчам по куриер,customer_visited_product_url; start_page_url,high
191,71,"Гофриран маркуч за пералня GORENJE, горен - входящ | 368427",368427,QG2PO1XSJL,2020-09-15,Product search / part identification,"Модел: 390322, 119GR07",customer_visited_product_url; start_page_url,high
192,71,"Гофриран маркуч за пералня GORENJE, SIDEX, долен - изходящ | 247025",247025,R7R1V7ID4F,2022-02-14,General question,Как рано бееее :D,customer_visited_product_url,medium
192,71,"Гофриран маркуч за пералня GORENJE, SIDEX, долен - изходящ | 247025",247025,R7R1V7ID4F,2022-02-14,Product search / part identification,аз ги снимах 4 пъти вместо два... пак би трябвало да са складирани под наш код всички да не са пърснати на горе на долу,customer_visited_product_url,medium
192,71,"Гофриран маркуч за пералня GORENJE, SIDEX, долен - изходящ | 247025",247025,R7R1V7ID4F,2022-02-14,General question,в колко да дойда да пием вино? :D,customer_visited_product_url,medium
192,71,"Гофриран маркуч за пералня GORENJE, SIDEX, долен - изходящ | 247025",247025,R7R1V7ID4F,2022-02-14,Product search / part identification,та за това ти писах на теб че като имаш време да се оправи тва че то после излиза примерно че има само 3 бройки пак то има още 5 само че са под друг код,customer_visited_product_url,medium
192,71,"Гофриран маркуч за пералня GORENJE, SIDEX, долен - изходящ | 247025",247025,R7R1V7ID4F,2022-02-14,General question,ти ли си ?,customer_visited_product_url,medium
192,71,"Гофриран маркуч за пералня GORENJE, SIDEX, долен - изходящ | 247025",247025,R7R1V7ID4F,2022-02-14,Product search / part identification,този на етикета имаше код 290452 а в сайта наш код е 042809,customer_visited_product_url,medium
193,71,"Гофриран маркуч за пералня GORENJE, долен - изходящ | 327447",327447,T40K4ZS9TP,2025-10-23,Product search / part identification,Носач кръстачка за барабан на пералня Samsung модел WW78J3283KV,customer_visited_product_url,medium
194,71,"Гофриран маркуч за пералня GORENJE, долен - изходящ | 368675",368675,SY0T08FWZ1,2025-07-03,Product search / part identification,За помпата долу горение модел WNHV60SES,start_page_url,medium
194,71,"Гофриран маркуч за пералня GORENJE, долен - изходящ | 368675",368675,SY0T08FWZ1,2025-07-03,Product search / part identification,Здравеите гофриран маркуч горене модел WNHVB60SES,start_page_url,medium
196,71,"Гофриран маркуч за пералня GORENJE, горен - входящ | 587386",587386,PSZDTAR57F,2019-05-31,Product search / part identification,"Здравейте, търся гофрииран маркуч,горен, за Sharph,",start_page_url,medium
196,71,"Гофриран маркуч за пералня GORENJE, горен - входящ | 587386",587386,RFAX4EDSHD,2022-08-01,Product search / part identification,"Здравейте, интересуват ме дали имате подходящи маншон, изходящ и входящ гофриран маркуч за пералня Gorenje WA543, art. 635001",customer_visited_product_url,medium
199,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 103656",103656,CPASI7H48FZ,2018-06-18,Product search / part identification,Търся гофриран маркуч за индезит WG,customer_visited_product_url; start_page_url,high
199,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 103656",103656,CPDES7YO2OM,2018-08-21,Order / payment / invoice,А по тел поръчка?,customer_visited_product_url; start_page_url,high
199,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 103656",103656,CPDES7YO2OM,2018-08-21,Delivery / shipping,Еконт ...спиди все нещо не са разбрали,customer_visited_product_url; start_page_url,high
199,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 103656",103656,CPDES7YO2OM,2018-08-21,General question,Ок кога да очаквам пратката?,customer_visited_product_url; start_page_url,high
199,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 103656",103656,CPDES7YO2OM,2018-08-21,Product search / part identification,Трябва ми гофриран маркуч горен за модел индезид 421xw пералня,customer_visited_product_url; start_page_url,high
199,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 103656",103656,RE7J8JKSAB,2022-07-05,Product search / part identification,"ГОФРИРАН МАРКУЧ ЗА ПЕРАЛНЯ INDESIT, ГОРЕН - ВХОДЯЩ за модел IWE 8128",customer_visited_product_url; start_page_url,medium
200,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 119ID00",119ID00,QMDV3HTTLC,2021-01-13,Dimensions / specs,Да мога но не и веднага да го снимам с размери или катого сваля?,customer_visited_product_url,medium
200,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 119ID00",119ID00,QMDV3HTTLC,2021-01-13,Product search / part identification,"Здравейте интересува мен горен-входящ гофриран маркуч за Пералня Индезит модел W84TX. в сайта виждам няколко вида маркучи за индезит, но кой точно е за този модел не намирам мога да проложа снимка на маркуча монтиран на пералнята в момента ако е необходимо",customer_visited_product_url,medium
200,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 119ID00",119ID00,QMDV3HTTLC,2021-01-13,Product search / part identification,"Модел: 041914, C00279063 може би този но ми изглежда по къс",customer_visited_product_url,medium
200,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 119ID00",119ID00,QMDV3HTTLC,2021-01-13,Product search / part identification,"Модел: 390321, 119ID00 този също прилича на моя но е прав в края си където се пъха в казанчето за прах а при мен е извит на горе",customer_visited_product_url; exact_product_code; unique_exact_product_code,high
200,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 119ID00",119ID00,QMDV3HTTLC,2021-01-13,Delivery / shipping,ами значи ако намерим правилния маркуч може и по еконт,customer_visited_product_url,medium
200,71,"Гофриран маркуч за пералня INDESIT, горен - входящ | 119ID00",119ID00,QMDV3HTTLC,2021-01-13,Store / contact,и да попитам само в Бургас ли имате магазин?,customer_visited_product_url,medium
201,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 103652",103652,S5BIJ7UB8D,2023-12-11,Product search / part identification,пералня индезит модел EWC 71252 W EE N - не намирам в модулите за управление този модел. С какъв модул за управление е този модел и предлагате ли го? Благодаря!,customer_visited_product_url,medium
203,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | C00510226",C00510226,CP5DJX0441O,2018-03-13,Availability,"Ок, благодаря. Значи този с един страничен отвор е 18,00лв. А, имате ли го в наличност?",agent_shared_product_url,medium
203,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | C00510226",C00510226,CP5DJX0441O,2018-03-13,General question,"Предлагате два вида гофр.маркучи за Индезит. - 18,00 и 31,20 лв. Кой от тях е с един страничен отвор и кой с два?",agent_shared_product_url,medium
204,71,"Гофриран маркуч за пералня INDESIT, ARISTON MERLONI, долен - изходящ | 046962",046962,S5BIJ7UB8D,2023-12-11,Product search / part identification,пералня индезит модел EWC 71252 W EE N - не намирам в модулите за управление този модел. С какъв модул за управление е този модел и предлагате ли го? Благодаря!,customer_visited_product_url,medium
205,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 108874",108874,CP5DJX0441O,2018-03-13,Availability,"Ок, благодаря. Значи този с един страничен отвор е 18,00лв. А, имате ли го в наличност?",agent_shared_product_url,medium
205,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 108874",108874,CP5DJX0441O,2018-03-13,General question,"Предлагате два вида гофр.маркучи за Индезит. - 18,00 и 31,20 лв. Кой от тях е с един страничен отвор и кой с два?",agent_shared_product_url,medium
205,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 108874",108874,RE9JGNEX77,2022-07-05,Product search / part identification,"Аз търся маркуча, сивия, от който излиза мръсната вода и влиза в канализацията",agent_shared_product_url,medium
205,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 108874",108874,RE9JGNEX77,2022-07-05,Dimensions / specs,"Ако е така, значи би трябвало това да е моя маркуч, като 30 мм е външен диаметър",agent_shared_product_url,medium
205,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 108874",108874,RE9JGNEX77,2022-07-05,Product search / part identification,"ВЪНШНИЯ диаметър на по-широката част на маркуча ми, тази откъм помпата е 30 мм. На тези във вашия сайт също пише че е 30 мм, на повечето. Би трябвало да стават.",agent_shared_product_url,medium
205,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 108874",108874,RE9JGNEX77,2022-07-05,General question,Вашето мнение какво е?,agent_shared_product_url,medium
205,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 108874",108874,RE9JGNEX77,2022-07-05,Product search / part identification,"Вътрешния диаметър на уширението, което влиза в помпата на пералнята трябва да съвпада, иначе дължина на маркуча, изходящ щуцер са практически без значение.",agent_shared_product_url,medium
205,71,"Гофриран маркуч за пералня INDESIT, долен - изходящ | 108874",108874,RE9JGNEX77,2022-07-05,Dimensions / specs,"Диаметър на накрайниците: φ21-30 mm какво означава, че единият е с диаметър 30 мм, другия 21?",agent_shared_product_url,medium
